"ID","title","details","credit"
"s0164V1962","SelfPortrait with Straw Hat","oil on cardboard 409 cm x 328 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0165V1962","Portrait of Leonie Rose CharbuyDavy","oil on canvas 607 cm x 457 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0166V1962","Portrait of Camille Roulin","oil on canvas 405 cm x 325 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0167V1962","Portrait of Marcelle Roulin","oil on canvas 352 cm x 246 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0168V1962","Pieta after Delacroix","oil on canvas 73 cm x 605 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0169V1962","The Raising of Lazarus after Rembrandt","oil on paper 50 cm x 655 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0170V1962","The Woodcutter after Millet","oil on canvas 44 cm x 262 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0171V1962","Thresher after Millet","oil on canvas 42 cm x 28 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0172V1962","Peasant Woman Binding Sheaves after Millet","oil on canvas on cardboard 432 cm x 332 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0173V1962","The SheafBinder after Millet","oil on canvas 445 cm x 331 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0174V1962","Evening after Millet","oil on canvas 742 cm x 930 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0175V1962","SnowCovered Field with a Harrow after Millet","oil on canvas 721 cm x 920 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0177V1962","Vase with Chinese Asters and Gladioli","oil on canvas 611 cm x 461 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0178V1962","Glass with Yellow Roses","oil on cardboard 350 cm x 270 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0179V1962","Basket of Crocus Bulbs","oil on canvas 325 cm x 412 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0180V1962","Basket of Pansies","oil on canvas 460 cm x 550 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0181V1962","Three Novels","oil on panel 311 cm x 485 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0182V1962","Small Bottle with Peonies and Blue Delphiniums","oil on cardboard 345 cm x 270 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0183V1962","Flowerpot with Garlic Chives","oil on canvas 319 cm x 220 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0184V1962","Sprig of Flowering Almond in a Glass","oil on canvas 245 cm x 195 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0185V1962","Flame Nettle in a Flowerpot","oil on canvas 421 cm x 219 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0186V1962","Cafe Table with Absinthe","oil on canvas 463 cm x 332 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0187V1962","Roses","oil on canvas 335 cm x 245 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0188V1962","Butterflies and Poppies","oil on canvas 35 cm x 255 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0189V1962","Giant Peacock Moth","oil on canvas 335 cm x 245 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0190V1962","Wild Roses","oil on canvas 245 cm x 335 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0193V1962","Dish with Citrus Fruit","oil on canvas 215 cm x 275 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0194V1962","Grapes","oil on canvas 330 cm x 463 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0196V1962","Garden of the Asylum","oil on canvas 720 cm x 910 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation gift of Paul Gachet jr"
"s0197V1962","Wheatfield with Partridge","oil on canvas 537 cm x 652 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0198V1962","The Reaper after Millet","oil on canvas 44 cm x 33 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0199V1962","Plaster Cast of a Womans Torso","oil on canvas 408 cm x 271 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0200V1962","Plaster Cast of a Womans Torso","oil on canvas 410 cm x 327 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0201V1962","Torso of Venus","oil on cardboard 353 cm x 272 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0202V1962","Horse","oil on cardboard 331 cm x 409 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0257V1962","Portrait of Gauguin","oil on burlap on panel 382 cm x 338 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0343V1966","Head of a Woman","oil on canvas on panel 478 cm x 348 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0416N1990","View of the Sea at Scheveningen","oil on paper on canvas 364 cm x 519 cm","Credits Van Gogh Museum Amsterdam State of the Netherlands bequest of AE Ribbius Peletier"
"s0417N1990","View of the Alpilles","oil on canvas 33 cm x 285 cm","Credits Van Gogh Museum Amsterdam State of the Netherlands bequest of AE Ribbius Peletier"
"s0452S1995","Woman Lifting Potatoes","oil on canvas on panel 418 cm x 325 cm","Credits Van Gogh Museum Amsterdam bequest of Dr M Rehfisch"
"s0548S2019","Peasant Burning Weeds","oil on canvas on panel 305 cm x 395 cm","Credits obliged to state Van Gogh Museum AmsterdamDrents Museum Assen purchased with support from the BankGiro Loterij Mondriaan Fund Rembrandt Association with the additional support of her Themafonds ImpressionismeClaude Monet Fonds her Hendrickje Fonds and the Prins Bernhard Cultuurfonds Vincent van Gogh Stichting Province of Drenthe Stichting Beringer Hazewinkel Stichting Steunfonds Drents Museum and Stichting Vrienden van het Drents Museum"
"d0001V1962","Woman Preparing a Meal","chalk paint on paper 304 cm x 371 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0002V1962","Seated Woman","pencil on paper 346 cm x 211 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0003V1962","Young Man with a Pipe","pencil and watercolour on paper 399 cm x 284 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0004V1962","Woman Sewing","chalk paint on paper 305 cm x 369 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0005V1962","Woman Sewing","chalk on paper 280 cm x 203 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0006V1962","Woman Peeling Potatoes","chalk on paper 287 cm x 226 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0007V1962","Woman Peeling Potatoes","chalk on paper 304 cm x 232 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0008V1962","Head of a Woman","pencil on paper 345 cm x 210 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0009V1962r","Sale of Building Scrap","chalk on paper 211 cm x 347 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0009V1962v","Sale of Building Scrap","chalk on paper 211 cm x 347 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0010V1962","Landscape with a Church","pencil pen and ink on paper 205 cm x 286 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0011V1962","Avenue of Poplars","pencil pen and ink on paper 542 cm x 393 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0012V1962r","Studies of a Seated Girl LEcorche and Venus","chalk on paper 475 cm x 620 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0012V1962v","Seated Girl and Venus","chalk on paper 475 cm x 620 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0013V1962","Idol","charcoal chalk on paper 477 cm x 305 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0014V1962r","Idol","charcoal chalk on paper 477 cm x 313 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0014V1962v","Idol","charcoal chalk on paper 477 cm x 313 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0015V1962r","Idol","charcoal chalk on paper 475 cm x 308 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0015V1962v","Idol","charcoal chalk on paper 475 cm x 308 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0016V1962","Seated Man with a Beard","charcoal chalk on paper 509 cm x 392 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0017V1962r","Head of a Man possibly Theo van Gogh","chalk watercolour on paper 349 cm x 258 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0017V1962v","Head of a Man with a Top Hat","chalk on paper 258 cm x 349 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0018V1962r","Pianist","chalk on paper 258 cm x 348 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0018V1962v","DoubleBass Player","chalk on paper 348 cm x 258 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0019V1962r","Clarinettist and Piccolo Player","chalk on paper 257 cm x 349 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0019V1962v","Study for Woman Sitting by a Cradle","pencil on paper 349 cm x 257 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0020V1962r","Violinist Seen from the Back","chalk on paper 349 cm x 258 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0020V1962v","Violinist Seen from the Front","chalk on paper 258 cm x 349 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0021V1962","Seated Female Nude","pencil on paper 476 cm x 316 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0022V1962","Standing Female Nude Seen from the Side","pencil on paper 504 cm x 392 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0023V1962","Standing Female Nude Seen from the Back","pencil on paper 509 cm x 395 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0024V1962","Woman with a Mourning Shawl","chalk on paper 347 cm x 208 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0025V1962r","View of Het Steen","chalk on paper 92 cm x 166 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0025V1962v","Two Women in a Balcony Box","chalk on paper 92 cm x 166 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0026V1962","Couple Dancing","chalk on paper 92 cm x 163 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0027V1962","Dance Hall","chalk on paper 92 cm x 163 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0029V1962","Skeleton","pencil on cardboard 105 cm x 58 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0030V1962r","Standing Male Nude Seen from the Front","pencil pen and brush and ink on paper 216 cm x 131 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0031V1962r","Standing Male and Seated Female Nudes","chalk on paper 314 cm x 475 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0031V1962v","Torso of Venus","charcoal chalk on paper 314 cm x 475 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0032V1962","Shopping Street in Montmartre by Night","pencil chalk on paper 211 cm x 295 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0034V1962r","Torso of Venus","chalk lithographic crayon on paper 322 cm x 249 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0034V1962v","Young Slave","chalk on paper 322 cm x 249 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0035V1962","Kneeling Ecorche","pencil pen and ink on paper 324 cm x 245 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0036V1962r","Venus in a Top Hat","chalk on paper 383 cm x 198 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0036V1962v","A Womans Legs","chalk on paper 198 cm x 383 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0037V1962","Dying Slave and Figures at a Table","pencil pen and ink chalk on paper 348 cm x 258 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0038V1962","Nude Woman Squatting Over a Basin","pencil on paper 214 cm x 136 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0040V1971","Head of a Man","chalk on paper 165 cm x 92 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0041V1971","Head of an Old Man","chalk on paper 165 cm x 92 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0042V1971","City View","chalk on paper 92 cm x 166 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0045V1962","Standing Male Nude Seen from the Front","chalk on paper 473 cm x 310 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0047V1969","A Sunday in Eindhoven","watercolour pen and ink on paper 208 cm x 295 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0048V1962r","Stocky Man","chalk on paper 346 cm x 210 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0048V1962v","Man and Woman Sharing a Meal","chalk on paper 210 cm x 346 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0049V1962","Stooks and a Peasant Stacking Sheaves","chalk on paper 197 cm x 328 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0050V1962","Stooks and a Mill","chalk on paper 226 cm x 295 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0051V1962","Wheatfield with a Stook and a Mill","chalk on paper 250 cm x 343 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0052V1962","Wheatfield with Stooks and a Mill","chalk on paper 301 cm x 457 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0053V1962","Landscape with Cottages and a Mill","chalk on paper 226 cm x 300 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0054V1962","Landscape in Stormy Weather","chalk on paper 297 cm x 226 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0056V1962r","Arm","chalk on paper 208 cm x 344 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0056V1962v","Arm","chalk on paper 208 cm x 344 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0057V1962","View of Het Steen","pen and ink chalk pencil on paper 131 cm x 211 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0058V1962","Portrait of a Woman","chalk lithographic crayon on paper 507 cm x 393 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0059V1962","Standing Male Nude Seen from the Front","chalk on paper 477 cm x 308 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0060V1962","Standing Female Nude Seen from the Front","charcoal chalk lithographic crayon on paper 504 cm x 392 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0061V1962","French Peasant Woman Suckling Her Baby after Dalou","pencil on paper 483 cm x 264 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0062V1962","Standing and Sitting Male Nude after Bargue","pencil on paper 446 cm x 546 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0063V1962","Digger","pencil chalk on paper 506 cm x 316 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0064V1962","Digger","pencil brush and ink on paper 487 cm x 297 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0065V1962","Old Man in a Tailcoat","pencil on paper 472 cm x 235 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0066V1962","Head of a Woman","pencil lithographic crayon watercolour on paper 454 cm x 263 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0067V1962","Head of a Woman","pencil lithographic crayon on paper 395 cm x 247 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0068V1962","Head of a Fisherman with a Souwester","pencil lithographic crayon on paper 417 cm x 265 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0069V1962","Fisherman with Souwester Pipe and Coal Pan","pencil lithographic crayon watercolour on paper 445 cm x 284 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0070V1962","Head of a Fisherman with a Fringe of Beard and a Souwester","pencil lithographic crayon brush and pen and ink watercolour on paper 472 cm x 294 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0071V1962","Woman with a Child on her Lap","chalk watercolour on paper 538 cm x 355 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0072V1962","Girl Kneeling by a Cradle","pencil chalk watercolour on paper 480 cm x 323 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0073V1962","Head of a Woman","pencil pen and brush and ink on paper 433 cm x 271 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0074V1962","Woman Sewing with a Girl","chalk pen and brush and ink watercolour on paper 556 cm x 299 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0075V1962","Woman with a Broom","pencil on paper 491 cm x 276 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0076V1962","Woman with a Broom","pencil on paper 455 cm x 233 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0077V1964","Old Man Drinking Coffee","pencil on paper 494 cm x 286 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0078V1962r","Two Hands","chalk on paper 211 cm x 346 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0078V1962v","Kettle Over a Fire and a Cottage by Night","chalk on paper 346 cm x 211 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0079V1962","Weaver","pencil pen and ink watercolour on paper 263 cm x 206 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0080V1962","Weaver","pencil watercolour pen and ink on paper 342 cm x 453 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0081V1962","Weaver","pencil chalk pen and brush and ink paint on paper 213 cm x 348 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0082V1962","Weaver with a Baby in a High Chair","pencil pen and ink watercolour on paper 315 cm x 399 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0083V1962","Weaver","pencil pen and ink on paper 272 cm x 403 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0084V1962","Weaver","pencil pen and ink watercolour on paper 305 cm x 400 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0085V1962","Weaver","pencil watercolour pen and ink and watercolour on paper 325 cm x 452 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0086V1962","Winter Landscape with Hut and Figure","pencil chalk on paper 226 cm x 290 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0087V1962","Melancholy","pencil pen and ink on paper 286 cm x 206 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0088V1962","The Vicarage Garden","pencil pen and ink on paper 200 cm x 234 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0089V1962","Head of a Young Man with a Pipe","pencil on paper 333 cm x 207 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0090V1962r","Two Hands and a Womans Head","chalk on paper 345 cm x 211 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0090V1962v","Two Studies of a Cottage","chalk on paper 345 cm x 211 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0091V1962","Two Hands","pencil on paper 345 cm x 212 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0092V1969","Head of a Woman","chalk on paper 346 cm x 209 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0093V1962","Lap with Hands and a Bowl","chalk on paper 207 cm x 345 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0094V1962r","Three Hands Two with Knives","chalk on paper 211 cm x 346 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0094V1962v","Head of a Young Man","chalk on paper 346 cm x 211 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0095V1962r","Four Hands","chalk pen and ink on paper 208 cm x 346 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0095V1962v","Lamp in Front of a Window","pencil on paper 208 cm x 346 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0096V1962r","Two Hands with a Stick","pencil on paper 213 cm x 345 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0096V1962v","Four Hands Two Holding Bowls","pencil on paper 345 cm x 213 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0097V1962","Two Hands","pencil on paper 350 cm x 209 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0098V1962r","Three Hands","pencil on paper 211 cm x 345 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0098V1962v","Three Hands","pencil pen and ink on paper 345 cm x 211 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0099V1962","Two Hands with a Hearth Shovel","chalk on paper 212 cm x 346 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0100V1962r","Lap with Hands","chalk on paper 213 cm x 342 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0100V1962v","Three Hands","chalk on paper 342 cm x 213 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0101V1962","Head of a Woman","chalk on paper 338 cm x 207 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0102V1962","Head of a Woman","chalk on paper 301 cm x 180 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0103V1962r","Woman with a Shawl","chalk on paper 346 cm x 210 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0103V1962v","Woman with a Shawl","chalk on paper 346 cm x 210 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0104V1962","Woman with a Shawl","chalk on paper 310 cm x 186 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0105V1962","Pine Trees in the Fen","pencil pen and brush and ink on paper 358 cm x 450 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0106V1962","Peasant Woman Digging","chalk on paper 527 cm x 420 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0107V1962","Peasant Woman Lifting Potatoes","chalk on paper 492 cm x 402 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0108V1962","Peasant Woman Lifting Potatoes","chalk pen and ink on paper 287 cm x 226 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0109V1962r","Peasant Woman Lifting Potatoes","chalk on paper 329 cm x 197 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0109V1962v","Peasant Woman Lifting Potatoes","chalk on paper 329 cm x 197 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0110V1962","Peasant Woman Lifting Potatoes","chalk pen and ink on paper 289 cm x 227 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0111V1962","Peasant Woman Lifting Potatoes","chalk on paper 397 cm x 453 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0112V1962","Woman by a Hearth","chalk on paper 303 cm x 226 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0113V1962","Woman by a Hearth","probably lithographic crayon on paper 432 cm x 353 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0114V1962","Woman Winding Yarn","chalk on paper 299 cm x 226 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0115V1962r","Part of a Portrait of Anthon van Rappard","pencil on paper 290 cm x 447 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0115V1962v","Studies of Figures Carrying Bundles of Wood","chalk on paper 290 cm x 447 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0116V1962r","Three Studies of a Woman with a Shawl","chalk on paper 215 cm x 346 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0116V1962v","Woman with a Shawl","chalk on paper 215 cm x 346 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0117V1962","Peasant Lifting Beet","crayon on paper 531 cm x 428 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0118V1962","Digger","chalk on paper 539 cm x 352 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
